BIRD-MY;43589;145.825 ;145.825 ;437.375 ;APRS digipeater CW;JG6YKN;re-entered
BIRD-PH;43590;145.825 ;145.825 ;437.375 ;APRS digipeater CW;JG6YKM;re-entered
BIRD-JPN;44330;;437.375 ;437.375 ;4800bps GMSK CW;JG6YLE;re-entered
BIRD-LKA;44329;;437.375 ;437.375 ;4800bps GMSK CW;JG6YLG;re-entered
BIRD-NPL;44331;;437.375 ;437.375 ;4800bps GMSK CW;JG6YLF;re-entered
BIRDS-4(Tsuru);47927;145.825 ;145.825 ;437.375 ;4k8*FSK APRS CW;JG6YMX;re-entered
BIRDS-4(Maya-2);47929;145.825 ;145.825 ;37.375 ;4k8FSK APRS CW;JG6YMY;re-entered
BIRDS-4(GuaraniSat-1);47931;145.825 ;145.825 ;437.375 ;1k2AFSK/4k8FSK APRS CW;JG6YMZ;re-entered
BIRDS-5(Taka);54534;;145.825/435.375;435.375 ;4800bps GMSK APRS CW;;inactive
BIRDS-5(PearlAfricaSat-1);54535;;145.825/435.375;435.375 ;4800bps GMSK APRS CW;;inactive
BIRDS-5(ZimSat-1);54536;;145.825/435.375;435.375 ;4800bps GMSK APRS CW;;inactive
BIROS;41604;;437.525 ;;4800bps GMSK;;inactive
BisonSat;40968;;437.375 ;;9600bps GMSK;N7SKC;active
Black Knight-1;39398;;437.345 ;;;;re-entered
Blue Diamond;42783;;401.150 ;;9600bps FSK;;active
BlueWalker-3;53807;;437.500/2210.000;;2k4*/9k6 FSK;;active
Bobcat-1;46922;;436.600 ;;9k6/38k4/57k6* GMSK;BOBCAT-1;re-entered
BO-47;27422;;145.840 ;;400bps BPSK;;inactive
BO-48;27422;;435.270 ;;400bps BPSK;;inactive
BO-102;44443;145.900 ;435.690 ;435.715 ;V/U FM CW;;re-entered
BRAC;42823;;437.375 ;437.372 ;1k2AFSK 9k6GMSK CW;JG6YJS;re-entered
BRICSAT2;44355;28.120/145.825;145.825/435.350/437.605*;;1k2/9k6* FSK;USNAP1-1;re-entered
BRICSAT-P;40655;28.120;435.350;437.975;9600bps FSK;BRCSAT;re-entered
